,Date,City,Country,Longitude,Latitude,Cloudiness,Max Temp,Humidity,Wind Speed
0,1616804300,Karaton,ID,106.1045,-6.3424,20,82.99,83,3.44
1,1616804300,Tiksi,RU,128.8694,71.6872,100,10.83,91,6.51
2,1616804301,Harwich,GB,1.2844,51.9419,56,42.01,71,10.0
3,1616804302,Samarai,PG,150.6667,-10.6167,93,83.8,75,11.34
4,1616804302,Busselton,AU,115.3333,-33.65,69,57.0,87,5.5
5,1616804302,Norman Wells,CA,-126.8329,65.282,75,30.2,47,2.3
6,1616804303,Mataura,NZ,168.8643,-46.1927,100,61.03,66,3.31
7,1616804303,Matara,LK,80.5353,5.9485,100,76.87,87,7.9
8,1616804303,Yarmouth,US,-70.2286,41.7057,1,54.0,93,14.97
9,1616804304,Cabo San Lucas,MX,-109.9124,22.8909,40,73.0,52,11.5
10,1616804121,Hobart,AU,147.3294,-42.8794,75,60.01,82,5.75
11,1616804304,Vostok,RU,135.8833,46.4856,100,34.97,75,3.65
12,1616804305,Punta Arenas,CL,-70.9167,-53.15,75,51.01,71,8.05
13,1616804305,Srednekolymsk,RU,153.6833,67.45,39,-1.35,80,4.56
14,1616804305,Puerto Ayora,EC,-90.3518,-0.7393,60,79.0,87,4.0
15,1616804306,Atambua,ID,124.8925,-9.1061,94,78.19,79,3.06
16,1616804306,Avera,US,-82.5271,33.194,90,68.0,94,5.23
17,1616804307,Severo-Kuril'sk,RU,156.125,50.6789,100,26.15,94,21.23
18,1616804307,Vaini,TO,-175.2,-21.2,40,84.2,79,10.36
19,1616804308,Sitka,US,-135.33,57.0531,90,42.8,81,3.44
20,1616804308,New Norfolk,AU,147.0587,-42.7826,100,60.01,88,5.99
21,1616804309,Bredasdorp,ZA,20.0403,-34.5322,12,64.4,77,9.22
22,1616804309,Buluang,PH,123.3425,13.3068,98,81.0,75,3.15
23,1616804229,Cape Town,ZA,18.4232,-33.9258,75,68.0,94,2.3
24,1616804309,Chokurdakh,RU,147.9167,70.6333,80,-16.53,96,5.48
25,1616804310,Laas,IT,10.7002,46.6166,0,50.0,87,3.44
26,1616804310,Jamestown,US,-79.2353,42.097,90,43.0,93,12.3
27,1616804311,Longyearbyen,SJ,15.6401,78.2186,20,17.6,73,25.32
28,1616804311,Ribeira Grande,PT,-28.7,38.5167,45,57.9,61,6.08
29,1616804312,Barrow,US,-156.7887,71.2906,1,-9.4,70,3.44
30,1616804313,Salisbury,GB,-1.7957,51.0693,20,39.0,87,14.97
31,1616804313,Samagaltay,RU,95.0047,50.6022,16,7.9,78,4.12
32,1616804313,Iqaluit,CA,-68.5145,63.7506,20,-16.01,63,6.91
33,1616804313,Hermanus,ZA,19.2345,-34.4187,44,63.0,93,1.01
34,1616804314,Lebu,CL,-73.65,-37.6167,2,55.72,75,19.6
35,1616804314,Vestmannaeyjar,IS,-20.2734,63.4427,14,20.88,62,12.33
36,1616804314,Khatanga,RU,102.5,71.9667,94,-10.53,97,2.62
37,1616804315,Cardston,CA,-113.3019,49.2,37,42.8,42,10.36
38,1616804315,Carnarvon,AU,113.6333,-24.8667,95,77.0,65,12.66
39,1616804316,Venado Tuerto,AR,-61.9688,-33.7456,100,61.0,99,11.01
40,1616804316,Rikitea,PF,-134.9692,-23.1203,2,78.93,72,17.94
41,1616804317,Ushuaia,AR,-68.3,-54.8,75,48.2,66,5.12
42,1616804317,Hilo,US,-155.09,19.7297,75,80.6,54,11.5
43,1616804318,Castro,BR,-50.0119,-24.7911,59,64.76,92,3.09
44,1616804318,Bengkulu,ID,102.2655,-3.8004,99,77.09,87,3.56
45,1616804318,Grand Gaube,MU,57.6608,-20.0064,15,75.0,87,1.03
46,1616804110,George Town,MY,100.3354,5.4112,40,78.01,100,2.15
47,1616804319,Kapaa,US,-159.319,22.0752,75,79.0,78,9.22
48,1616804319,Sarankhola,BD,89.7897,22.3082,13,75.09,56,4.81
49,1616804320,Kitui,KE,38.0106,-1.367,98,65.43,72,1.9
50,1616804321,Kendari,ID,122.4989,-3.945,100,78.66,87,3.11
51,1616804032,Nouakchott,MR,-15.9785,18.0858,1,71.6,60,20.71
52,1616804321,Ulladulla,AU,150.4667,-35.35,9,73.4,46,6.91
53,1616804321,Katsuura,JP,140.3,35.1333,20,57.99,54,5.75
54,1616804250,Nome,US,-165.4064,64.5011,90,14.0,73,11.5
55,1616804322,Kaitangata,NZ,169.8464,-46.2817,91,63.0,75,4.0
56,1616804323,Camacha,PT,-16.3333,33.0833,40,62.6,94,14.97
57,1616804104,Hithadhoo,MV,73.0833,-0.6,65,82.42,71,7.23
58,1616804323,Avarua,CK,-159.775,-21.2078,40,84.2,70,12.66
59,1616804324,Owatonna,US,-93.226,44.0839,90,48.2,66,4.61
60,1616804324,Nālūt,LY,10.85,30.3333,0,53.92,29,9.71
61,1616804324,Aklavik,CA,-135.0107,68.2191,97,-2.2,71,8.05
62,1616804325,Deputatsky,RU,139.9,69.3,100,0.21,70,0.67
63,1616804325,Qaanaaq,GL,-69.3632,77.484,100,-9.45,65,4.83
64,1616804326,San Patricio,US,-97.5169,28.017,75,78.8,73,17.27
65,1616804327,Anloga,GH,0.8973,5.7947,40,82.4,83,10.36
66,1616804327,Mar del Plata,AR,-57.5575,-38.0023,75,64.99,88,27.63
67,1616804328,Birao,CF,22.7882,10.2849,83,79.88,51,3.87
68,1616804328,Lavrentiya,RU,-171.0,65.5833,100,3.81,79,6.82
69,1616804328,Atuona,PF,-139.0333,-9.8,33,81.0,74,18.9
70,1616804329,Sioux Lookout,CA,-91.917,50.1001,90,37.4,52,9.22
71,1616804330,Saint-Pierre,RE,55.4781,-21.3393,8,77.0,73,5.75
72,1616804330,Ahipara,NZ,173.1667,-35.1667,92,69.21,75,15.46
73,1616804331,Yerbogachën,RU,108.0108,61.2767,85,6.94,95,4.7
74,1616804331,Gwadar,PK,62.3254,25.1216,90,75.4,64,7.81
75,1616804332,Port Elizabeth,ZA,25.5701,-33.918,0,66.2,72,17.27
76,1616804332,Aiken,US,-81.5998,33.5835,90,68.0,94,5.75
77,1616804332,Arraial do Cabo,BR,-42.0278,-22.9661,0,78.8,83,6.91
78,1616804333,Eureka,US,-124.1637,40.8021,0,61.0,70,8.99
79,1616804333,Shimoda,JP,138.95,34.6667,0,57.2,47,10.36
80,1616804334,Takoradze,GH,-1.7554,4.8845,29,79.45,85,6.76
81,1616804334,Clyde River,CA,-68.5914,70.4692,1,-14.8,70,3.44
82,1616804335,Maumere,ID,122.2111,-8.6199,100,81.7,79,5.41
83,1616804335,Kibala,TD,18.3463,9.1104,0,84.2,54,3.69
84,1616804336,Bambous Virieux,MU,57.7575,-20.3428,20,75.2,88,6.91
85,1616804336,Tuktoyaktuk,CA,-133.0374,69.4541,40,-7.6,71,8.05
86,1616804337,Albany,US,-73.9662,42.6001,71,51.01,73,3.0
87,1616804337,Foumban,CM,10.9001,5.7291,100,67.68,83,3.62
88,1616804338,Touros,BR,-35.4608,-5.1989,75,77.0,83,6.91
89,1616804339,Pachino,IT,15.0907,36.7186,0,45.0,87,3.44
90,1616804339,Mugur-Aksy,RU,90.5,50.35,15,4.78,63,5.28
91,1616804339,Lüderitz,NA,15.1594,-26.6481,0,62.37,80,8.59
92,1616804340,Agüimes,ES,-15.4461,27.9054,20,64.99,72,5.75
93,1616804340,Mandera,KE,41.867,3.9366,12,79.12,42,18.68
94,1616804340,Mbanza-Ngungu,CD,14.8667,-5.25,100,67.93,95,1.39
95,1616804341,Kharovsk,RU,40.1912,59.9642,100,30.76,98,2.44
96,1616804341,Sawākin,SD,37.3321,19.1059,11,72.75,64,12.3
97,1616804342,Saint George,US,-113.5841,37.1041,1,61.0,25,20.71
98,1616804343,Faya,SA,42.4509,18.3851,0,60.8,67,1.32
99,1616804168,Port Macquarie,AU,152.9167,-31.4333,71,79.0,57,1.99
100,1616804343,Port Alfred,ZA,26.891,-33.5906,87,69.21,84,23.71
101,1616804344,Harper,LR,-7.7169,4.375,1,78.3,90,7.07
102,1616804344,Bethel,US,-73.414,41.3712,75,68.0,37,19.57
103,1616804345,Upata,VE,-62.3989,8.0086,93,75.99,84,7.0
104,1616804345,East London,ZA,27.9116,-33.0153,54,68.74,85,17.13
105,1616804345,Ol'ga,RU,135.2892,43.7444,100,39.02,60,9.66
106,1616804346,Kawalu,ID,108.2082,-7.3817,94,74.68,90,0.65
107,1616804346,Faanui,PF,-151.75,-16.4833,10,82.87,73,22.06
108,1616804346,Saint Paul Harbor,US,-152.4072,57.79,20,37.4,44,8.05
109,1616804347,Cabedelo,BR,-34.8339,-6.9811,40,75.2,100,5.75
110,1616804347,Bluff,NZ,168.3333,-46.6,100,57.92,78,5.12
111,1616804347,Nemuro,JP,145.575,43.3236,20,37.4,44,4.61
112,1616804348,Pisco,PE,-76.2167,-13.7,0,69.8,73,20.71
113,1616804348,Klaksvík,FO,-6.589,62.2266,40,39.2,48,13.8
114,1616804350,Tessalit,ML,1.0114,20.1986,0,72.82,12,20.83
115,1616804350,Semnan,IR,53.3971,35.5729,30,58.15,43,1.25
116,1616804350,Zhigansk,RU,123.3711,66.7697,100,11.84,93,20.89
117,1616804351,San Fernando del Valle de Catamarca,AR,-65.7852,-28.4696,76,61.0,99,8.77
118,1616804303,San Andrés,CO,-81.7006,12.5847,40,78.8,83,11.5
119,1616804352,Hasaki,JP,140.8333,35.7333,20,57.99,54,3.44
120,1616804352,Rapid City,US,-103.231,44.0805,90,42.8,65,13.8
121,1616804353,Saint-Philippe,RE,55.7679,-21.3585,24,77.0,73,5.75
122,1616804353,Monte Carmelo,BR,-47.4986,-18.7247,45,68.86,62,0.54
123,1616804354,Thompson,CA,-97.8558,55.7435,90,23.0,80,9.22
124,1616804355,Fort-Shevchenko,KZ,50.263,44.5086,10,41.85,82,23.11
125,1616804355,Taltal,CL,-70.4833,-25.4,23,66.04,76,3.8
126,1616804356,Oistins,BB,-59.5333,13.0667,40,77.0,65,21.85
127,1616804196,Hong Kong,HK,114.1577,22.2855,100,73.0,86,10.45
128,1616804358,Tuatapere,NZ,167.6833,-46.1333,100,60.48,72,6.8
129,1616804358,Mocuba,MZ,36.9856,-16.8392,3,69.53,97,3.69
130,1616804358,Canto do Buriti,BR,-42.9444,-8.11,94,77.54,62,2.06
131,1616804359,Kyshtovka,RU,76.6271,56.555,100,28.47,94,10.78
132,1616804359,Ancud,CL,-73.8203,-41.8697,0,55.0,82,4.61
133,1616804360,Airai,TL,125.4092,-8.9266,94,67.78,76,2.06
134,1616804360,Berlevåg,NO,29.0864,70.8578,60,32.34,87,27.11
135,1616804361,Itarema,BR,-39.9167,-2.9248,98,76.08,87,9.35
136,1616804361,Saskylakh,RU,114.0833,71.9167,98,3.54,96,3.13
137,1616804362,Soyo,AO,12.3689,-6.1349,100,78.21,82,4.09
138,1616804362,Tierra Nueva,MX,-100.5667,21.6833,100,82.17,8,2.46
139,1616804362,Ludza,LV,27.7167,56.55,4,32.2,92,1.68
140,1616804362,Geraldton,AU,114.6,-28.7667,17,64.4,72,10.36
141,1616804363,College,US,-147.8028,64.8569,90,27.0,54,6.91
142,1616804240,Ixtapa,MX,-105.2,20.7,40,73.4,73,13.8
143,1616804363,Yellowknife,CA,-114.3525,62.456,20,16.0,66,11.5
144,1616804364,Kutum,SD,24.6667,14.2,80,67.15,18,13.27
145,1616804364,Rurrenabaque,BO,-67.5278,-14.4413,75,78.8,94,1.74
146,1616804365,Timmins,CA,-81.3331,48.4669,20,30.2,59,9.22
147,1616804366,Coquimbo,CL,-71.3436,-29.9533,0,57.2,88,5.75
148,1616804366,Nehe,CN,124.8333,48.4833,66,39.4,74,3.06
149,1616804366,Nouadhibou,MR,-17.0347,20.931,5,64.4,88,16.11
150,1616804367,Along,IN,94.7667,28.1667,15,57.81,49,1.88
151,1616804367,Mount Isa,AU,139.5,-20.7333,0,87.8,23,14.97
152,1616804367,Nikolskoye,RU,30.7861,59.7035,75,34.0,100,2.24
153,1616804368,Kiryat Gat,IL,34.7642,31.61,99,52.0,100,9.78
154,1616804368,Sonāmukhi,IN,87.4167,23.3,0,74.23,22,4.27
155,1616804368,Khovd,MN,91.6419,48.0056,47,22.62,39,1.43
156,1616804369,Caravelas,BR,-39.2481,-17.7125,0,75.67,78,5.06
157,1616804369,Turukhansk,RU,87.9833,65.8167,100,27.88,97,13.62
158,1616804370,Ostrovnoy,RU,39.5131,68.0531,38,21.25,89,19.04
159,1616804370,Bud,US,-86.1758,39.447,98,52.0,80,3.47
160,1616804371,Pendleton,US,-118.7886,45.6721,20,59.0,35,11.5
161,1616804371,Souillac,MU,57.5167,-20.5167,20,75.2,88,6.91
162,1616804371,Dikson,RU,80.5464,73.5069,100,-6.25,100,10.87
163,1616804371,Champerico,GT,-91.9167,14.3,75,84.2,74,4.61
164,1616804371,Belmonte,BR,-38.8828,-15.8631,0,78.8,73,8.05
165,1616804372,Kuzovatovo,RU,47.6866,53.5468,100,32.13,98,7.45
166,1616804372,Itatskiy,RU,89.0369,56.07,96,23.47,88,11.18
167,1616804373,Quthing,LS,27.7003,-30.4,50,55.81,56,2.19
168,1616804373,Constitución,CL,-72.4167,-35.3333,0,58.32,72,11.59
169,1616804373,Butaritari,KI,172.7902,3.0707,25,81.77,75,12.39
170,1616804373,High Level,CA,-117.136,58.5169,20,35.6,35,5.75
171,1616804374,São Filipe,CV,-24.4956,14.8961,8,70.72,76,18.21
172,1616804374,Port Hardy,CA,-127.4199,50.6996,90,46.4,76,9.22
173,1616804374,Salalah,OM,54.0924,17.0151,0,73.4,27,5.75
174,1616804375,Tartagal,AR,-63.8013,-22.5164,100,65.53,98,7.65
175,1616804375,Vila Velha,BR,-40.2925,-20.3297,0,77.0,83,3.44
176,1616804376,Walvis Bay,NA,14.5053,-22.9575,37,61.0,100,2.3
177,1616804376,Vanimo,PG,141.3028,-2.6741,97,82.99,72,3.78
178,1616804376,Gravdal,NO,13.5031,68.1214,87,37.35,79,16.28
179,1616804377,Alofi,NU,-169.9187,-19.0595,10,84.2,74,16.11
180,1616804185,Portland,US,-122.6762,45.5234,40,57.0,47,1.9
181,1616804377,Alihe,CN,123.7167,50.5667,100,33.24,95,3.15
182,1616804378,Kollam,IN,76.6,8.8833,40,82.4,83,4.23
183,1616804378,Campana,AR,-58.9591,-34.1687,84,69.01,88,1.77
184,1616804379,Colon,VE,-72.2605,8.0313,75,71.6,100,3.44
185,1616804379,Shenjiamen,CN,122.298,29.9576,85,57.43,98,16.84
186,1616804380,Umba,RU,34.3429,66.6871,73,26.69,90,6.93
187,1616804380,Marsh Harbour,BS,-77.0636,26.5412,34,75.92,74,10.29
188,1616804381,Sabla,NG,4.7077,12.7525,65,81.64,10,18.9
189,1616804301,Kathmandu,NP,85.3167,27.7167,20,53.6,71,2.3
190,1616804382,Vila Franca do Campo,PT,-25.4333,37.7167,20,55.4,76,4.61
191,1616804382,Härnösand,SE,17.9379,62.6323,40,37.99,93,2.3
192,1616804382,Kavieng,PG,150.7967,-2.5744,99,83.28,73,10.18
193,1616804383,Saint-Paul,RE,55.2707,-21.0096,0,75.0,88,4.61
194,1616804383,Sol'-Iletsk,RU,54.9918,51.1631,100,24.31,97,6.67
195,1616804384,Adolfo López Mateos,MX,-107.3,28.4667,0,63.0,7,13.0
196,1616804384,Semeykino,UA,39.5337,48.3264,81,32.72,93,4.07
197,1616804385,Chui,UY,-53.4616,-33.6971,100,67.78,94,5.79
198,1616804385,Upernavik,GL,-56.1549,72.7868,14,-32.46,89,4.47
199,1616804386,Balikpapan,ID,116.8289,-1.2675,100,74.64,95,5.03
200,1616804386,Zwedru,LR,-8.1281,6.0667,18,74.08,93,4.07
201,1616804387,Mossamedes,AO,12.1522,-15.1961,87,73.02,83,8.43
202,1616804387,Tutóia,BR,-42.2744,-2.7619,93,75.6,91,4.23
203,1616804388,Quijingue,BR,-39.2092,-10.7525,98,74.79,62,10.42
204,1616804389,Guerrero Negro,MX,-114.0611,27.9769,0,61.86,53,17.31
205,1616804390,Sangar,RU,127.4739,63.9242,100,11.44,92,13.47
206,1616804390,Nazarovo,RU,90.3914,56.0064,99,18.81,91,7.31
207,1616804391,Grindavik,IS,-22.4338,63.8424,75,17.6,67,10.36
208,1616804391,Gilgit,PK,74.3087,35.9221,99,47.93,56,3.36
209,1616804392,Teknāf,BD,92.3058,20.8624,6,74.41,43,6.38
210,1616804392,Broome,US,-75.833,42.2506,90,46.4,71,12.66
211,1616804393,Fairbanks,US,-147.7164,64.8378,90,27.0,74,6.91
212,1616804393,Mareeba,AU,145.4333,-17.0,87,87.8,66,10.36
213,1616804394,Palencia,ES,-4.5,42.4167,63,44.01,84,5.99
214,1616804395,Potsdam,DE,13.0657,52.3989,0,48.0,81,6.91
215,1616804396,Visnes,NO,5.2242,59.3556,75,44.01,87,13.8
216,1616804397,Tasiilaq,GL,-37.6368,65.6145,75,6.8,47,9.22
217,1616804398,Sisimiut,GL,-53.6735,66.9395,76,-10.59,88,11.21
218,1616804398,Nassau,US,-73.5829,40.7507,1,66.2,39,25.32
219,1616804398,Aksarka,RU,67.7975,66.5606,86,-9.31,100,2.17
220,1616804399,Sayyan,YE,44.3244,15.1718,13,54.32,12,3.8
221,1616804399,Kapit,MY,112.9333,2.0167,100,73.09,99,0.65
222,1616804399,Novaya Mayna,RU,49.75,54.15,100,28.4,86,4.47
223,1616804400,Talnakh,RU,88.3972,69.4865,100,15.58,94,9.62
224,1616804400,Aguadas,CO,-75.4562,5.6116,75,59.0,94,4.61
225,1616804400,Hoskote,IN,77.1699,14.2769,58,74.68,45,5.82
226,1616804401,Imbituba,BR,-48.6703,-28.24,0,78.8,78,10.36
227,1616804401,Aden,YE,45.0367,12.7794,80,78.31,69,12.82
228,1616804400,Emerald,AU,148.1667,-23.5333,0,82.99,54,3.44
229,1616804402,Torbay,CA,-52.7314,47.6666,90,44.01,100,9.22
230,1616804402,Lábrea,BR,-64.7981,-7.2586,35,75.7,83,2.17
231,1616804402,Tautira,PF,-149.15,-17.7333,20,87.8,62,2.3
232,1616804403,Bubaque,GW,-15.8333,11.2833,4,76.87,74,16.04
233,1616804404,Ola,RU,151.2833,59.5833,46,2.16,82,2.55
234,1616804404,Pangnirtung,CA,-65.7125,66.1451,40,-23.06,86,5.73
235,1616804404,Kupang,ID,123.5833,-10.1667,20,82.4,100,1.14
236,1616804262,Jiaojiang,CN,121.4428,28.6803,44,64.99,96,5.57
237,1616804405,Korsholm,FI,21.6822,63.1142,40,37.4,87,11.5
238,1616804108,Alice Springs,AU,133.8833,-23.7,33,87.01,53,3.44
239,1616804406,Havre-St-Pierre,CA,-63.5986,50.2334,90,28.4,59,24.16
240,1616804407,Byron Bay,AU,153.6167,-28.65,68,75.99,69,3.44
241,1616804407,Quatre Cocos,MU,57.7625,-20.2078,20,75.2,88,6.91
242,1616804408,Mount Gambier,AU,140.7667,-37.8333,75,60.8,77,9.22
243,1616804408,Vuktyl,RU,57.3094,63.8567,95,16.59,96,5.48
244,1616804408,Ipanguaçu,BR,-36.855,-5.4983,100,78.04,83,4.63
245,1616804409,Magway,MM,94.9167,20.15,55,80.38,37,1.43
246,1616804410,Pevek,RU,170.3133,69.7008,90,-20.09,93,5.1
247,1616804410,Alindao,CF,21.2088,5.0267,87,67.77,95,4.27
248,1616804411,Provideniya,RU,-173.3,64.3833,100,7.12,85,12.88
249,1616804411,Coahuayana Viejo,MX,-103.6833,18.7333,75,75.2,53,5.37
250,1616804411,Itumba,TZ,33.1833,-9.4,100,61.68,97,3.18
251,1616804412,Lagoa,PT,-27.9833,39.05,48,56.79,61,7.74
252,1616804412,Osoyoos,CA,-119.4524,49.0331,22,62.6,25,3.44
253,1616804412,Sukumo,JP,132.7333,32.9333,5,63.55,65,7.4
254,1616804413,San Quintín,MX,-115.95,30.4833,15,57.9,61,16.02
255,1616804413,Sørland,NO,12.6934,67.667,100,40.91,78,22.06
256,1616804414,Kruisfontein,ZA,24.7314,-34.0033,13,64.99,70,1.99
257,1616804414,Gerāsh,IR,54.1371,27.6652,0,62.6,45,3.04
258,1616804415,Ranong,TH,98.6348,9.9658,20,78.8,89,2.3
259,1616804415,Xichang,CN,102.2634,27.8964,2,50.74,72,1.63
260,1616804416,Samaná,DO,-69.3369,19.2056,40,78.8,83,10.94
261,1616804417,Auly,UA,34.4949,48.5271,0,33.8,86,4.47
262,1616804417,Barvinkove,UA,37.0205,48.9097,94,38.52,80,5.82
263,1616804418,Dzhebariki-Khaya,RU,135.8,62.2167,100,14.94,79,3.22
264,1616804347,Aksu,CN,80.2644,41.1231,100,53.76,29,3.38
265,1616804419,Saint Anthony,US,-93.218,45.0205,1,46.99,49,6.91
266,1616804419,Terra Santa,BR,-56.4869,-2.1042,41,74.41,91,3.27
267,1616804420,Tadine,NC,167.8833,-21.55,36,81.91,66,10.25
268,1616804420,Zhangaözen,KZ,52.8,43.3,89,39.2,73,7.05
269,1616804420,Kovdor,RU,30.4758,67.5662,97,30.56,88,7.23
270,1616804420,Kemijärvi,FI,27.4306,66.7131,97,30.13,96,7.85
271,1616804421,Rawson,AR,-65.1023,-43.3002,1,60.15,63,7.31
272,1616804421,Sinnamary,GF,-52.95,5.3833,30,77.86,83,10.6
